STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_002,Area,CEN23_BIR_003,Birthplace,CEN23_AGE_003,Age,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0805,Taiwan,14,65-69 years,945,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0501,Russia,11,50-54 years,567,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1103,Kenya,10,45-49 years,99,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0202,Samoa,14,65-69 years,3747,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0212,Other,05,20-24 years,285,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0416,Other,07,30-34 years,183,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0708,Myanmar,Median,Median - age,39.6,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B08,North-East Asia,16,75-79 years,4389,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0506,Ukraine,16,75-79 years,45,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B12,At sea,02,5-9 years,0,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B03,Other Oceania and Antarctica,1,Under 15 years,0,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0402,Scotland,2,15-29 years,2199,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0406,Ireland,05,20-24 years,468,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0205,Niue,3,30-64 years,2391,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0412,Denmark,07,30-34 years,96,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0606,Syria,15,70-74 years,24,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1003,Brazil,12,55-59 years,258,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0609,Other Oceania and Antarctica,13,60-64 years,228,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0503,Czech Republic,04,15-19 years,33,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1006,Colombia,05,20-24 years,294,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0209,Papua New Guinea,08,35-39 years,162,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0901,India,10,45-49 years,7668,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B1005,Argentina,19,90 years and over,3,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,777777,Total stated - birthplace,07,30-34 years,370710,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0603,Saudi Arabia,09,40-44 years,108,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0901,India,09,40-44 years,12657,,,
DATAFLOW,STATSNZ:CEN23_ECI_006(1.0),"Birthplace and age for the census usually resident population count, (RC, TALB, SA2, Health), 2013, 2018, and 2023 Censuses",I,2023,2023,9999,Total - New Zealand by regional council,B0606,Syria,09,40-44 years,192,,,
