STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,CEN23_YEAR_001,Census year,CEN23_GEO_002,Area,CEN23_POM_008,Usual residence one year ago summary (RC),CEN23_ETH_002,Ethnicity,CEN23_AGE_004,Age,CEN23_GEN_002,Gender,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,2,Elsewhere in New Zealand,999,Total - ethnicity,2,15-29 years,99,Total - gender,288795,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,2,Elsewhere in New Zealand,999,Total - ethnicity,4,65 years and over,99,Total - gender,65325,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,1,Same as usual residence,999,Total - ethnicity,1,Under 15 years,99,Total - gender,712110,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,27,Different Regional Council Area different island,999,Total - ethnicity,99,Total - age,99,Total - gender,46308,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,26,Different Regional Council Area same island,999,Total - ethnicity,1,Under 15 years,99,Total - gender,17202,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,4,Overseas,999,Total - ethnicity,2,15-29 years,99,Total - gender,40968,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,3,Not born one year ago,999,Total - ethnicity,3,30-64 years,99,Total - gender,0,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,25,Same Regional Council Area,999,Total - ethnicity,4,65 years and over,99,Total - gender,52641,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,9,Not elsewhere included,999,Total - ethnicity,1,Under 15 years,99,Total - gender,7098,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,27,Different Regional Council Area different island,999,Total - ethnicity,Median,Median - age,99,Total - gender,27.6,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,2,Elsewhere in New Zealand,999,Total - ethnicity,3,30-64 years,99,Total - gender,347193,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,26,Different Regional Council Area same island,999,Total - ethnicity,Median,Median - age,99,Total - gender,29.4,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,25,Same Regional Council Area,999,Total - ethnicity,99,Total - age,99,Total - gender,678864,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,5,No fixed abode one year ago,999,Total - ethnicity,Median,Median - age,99,Total - gender,54.2,,,
DATAFLOW,STATSNZ:CEN23_LOC_007(1.0),"Usual residence one year ago summary (RC), ethnicity, age, and gender for the census usually resident population count, by usual residence address (RC, TALB, SA2, Health), 2023 Census",I,2023,2023,9999,Total - New Zealand by regional council,4,Overseas,999,Total - ethnicity,3,30-64 years,99,Total - gender,62394,,,
